Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type
The hotel offers only suites.,This hotel was too expensive.,a,b,0,0.973168134689331,0.022634470835328102,0.004197331611067057,neutral,0.9422094821929932,0.0563833974301815,0.001407100004144013,neutral,ref
The hotel offers only suites.,The level of cleanliness it provided was not up to par.,a,b,0,0.9923697710037231,0.004540285561233759,0.0030898340046405792,neutral,0.751934826374054,0.24662218987941742,0.0014429445145651698,neutral,ref
The hotel offers only suites.,This hotel isn't in a desirable spot.,a,b,0,0.986578643321991,0.010561665520071983,0.0028596671763807535,neutral,0.884075403213501,0.11495497822761536,0.0009696028428152204,neutral,ref
The hotel offers only suites.,The hotel lies beyond the historic city center.,a,b,0,0.9937964677810669,0.0020639013964682817,0.00413972232490778,neutral,0.9465027451515198,0.05271795019507408,0.0007793656550347805,neutral,ref
The hotel offers only suites.,Many of the popular sights are located in the historic city center.,a,b,0,0.9911333918571472,0.002725169761106372,0.006141443271189928,neutral,0.6303945183753967,0.3671238124370575,0.0024816617369651794,neutral,ref
The hotel offers only suites.,It was pleasant to be away from the busy city center.,a,b,0,0.9960514903068542,0.0013513652374967933,0.0025971948634833097,neutral,0.7246301770210266,0.2736789882183075,0.0016908821417018771,neutral,ref
The hotel offers only suites.,It would have been preferable to be closer to the main attractions.,a,b,0,0.9980602860450745,0.0011513266945257783,0.0007884019869379699,neutral,0.2039613127708435,0.7950306534767151,0.001008031191304326,contradiction,ref
The hotel offers only suites.,Some of the personnel were impolite.,a,b,0,0.9926152229309082,0.0042310114949941635,0.003153763245791197,neutral,0.17602522671222687,0.8229705691337585,0.001004178891889751,contradiction,ref
The hotel offers only suites.,Some of the personnel were uncooperative.,a,b,0,0.9934676289558411,0.004411210771650076,0.00212120171636343,neutral,0.12494955211877823,0.8743454813957214,0.0007049774867482483,contradiction,ref
The hotel offers only suites.,"When staying at this hotel, you can enjoy the experience of eating your breakfast.",a,b,0,0.9343639016151428,0.014879278838634491,0.05075681209564209,neutral,0.5410518050193787,0.4574407637119293,0.0015074093826115131,neutral,ref
The hotel offers only suites.,The breakfast is served at the outdoor restaurant.,a,b,0,0.9935178756713867,0.0029402936343103647,0.0035418968182057142,neutral,0.01562640070915222,0.9841833710670471,0.00019020645413547754,contradiction,ref
The hotel offers only suites.,If you are a Florida resident.,a,b,0,0.9836214780807495,0.007818023674190044,0.008560556918382645,neutral,0.9600948691368103,0.03755529224872589,0.002349840011447668,neutral,ref
The hotel offers only suites.,You can inquire about a discounted rate.,a,b,0,0.9923819899559021,0.0029751420952379704,0.004642820451408625,neutral,0.4906238615512848,0.507739782333374,0.0016363365575671196,contradiction,ref
The hotel offers only suites.,The discounted rate is for this wonderful stay.,a,b,0,0.9859636425971985,0.0038276652339845896,0.010208727791905403,neutral,0.8352136015892029,0.163404181599617,0.0013822801411151886,neutral,ref
The hotel offers only suites.,It is definitely worth taking a look at the pool.,a,b,0,0.9913343787193298,0.005728327203541994,0.0029372265562415123,neutral,0.10939118266105652,0.8898630142211914,0.0007457996252924204,contradiction,ref
The hotel offers only suites.,It is definitely worth taking a look at the hot tub.,a,b,0,0.9823649525642395,0.01464875042438507,0.002986273495480418,neutral,0.07524198293685913,0.9241119623184204,0.0006460221484303474,contradiction,ref
The hotel is impeccable.,This hotel was too expensive.,a,b,0,0.7917656898498535,0.2056446373462677,0.0025896441657096148,neutral,0.05930660292506218,0.9390658140182495,0.001627652090974152,contradiction,ref
The hotel is impeccable.,The level of cleanliness it provided was not up to par.,a,b,0,0.21001915633678436,0.7848359942436218,0.005144905298948288,contradiction,0.014336933381855488,0.9854490160942078,0.00021406597807072103,contradiction,ref
The hotel is impeccable.,This hotel isn't in a desirable spot.,a,b,0,0.10758936405181885,0.8912654519081116,0.0011452632024884224,contradiction,0.002029015915468335,0.9978622794151306,0.00010868694516830146,contradiction,ref
The hotel is impeccable.,The hotel lies beyond the historic city center.,a,b,0,0.9915125966072083,0.0023302456829696894,0.006157110910862684,neutral,0.9909895062446594,0.002273148624226451,0.006737307645380497,neutral,ref
The hotel is impeccable.,Many of the popular sights are located in the historic city center.,a,b,0,0.9876904487609863,0.002100537996739149,0.01020899973809719,neutral,0.9835934042930603,0.008359698578715324,0.008046845905482769,neutral,ref
The hotel is impeccable.,It was pleasant to be away from the busy city center.,a,b,0,0.9947826266288757,0.002542441477999091,0.0026749579701572657,neutral,0.9900630116462708,0.004885423928499222,0.005051526241004467,neutral,ref
The hotel is impeccable.,It would have been preferable to be closer to the main attractions.,a,b,0,0.9977248311042786,0.002016163896769285,0.00025907086092047393,neutral,0.5137046575546265,0.48204874992370605,0.004246591590344906,neutral,ref
The hotel is impeccable.,Some of the personnel were impolite.,a,b,0,0.9515886306762695,0.04605859890580177,0.0023527361918240786,neutral,0.09241142123937607,0.9064400792121887,0.0011484440183266997,contradiction,ref
The hotel is impeccable.,Some of the personnel were uncooperative.,a,b,0,0.9598538279533386,0.03843456506729126,0.0017116146627813578,neutral,0.10465586185455322,0.8940484523773193,0.001295691356062889,contradiction,ref
The hotel is impeccable.,"When staying at this hotel, you can enjoy the experience of eating your breakfast.",a,b,0,0.920615017414093,0.0029055005870759487,0.07647942751646042,neutral,0.9537084698677063,0.006517814937978983,0.03977370262145996,neutral,ref
