,Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type,agg_cont,agg_ent,agg_neut,agg_1_neut,agg_2_neut,ent_final,cont_final,neut_final,total
0,The hotel has conference rooms available to rent out for conferences and corporate events.,The hotel is especially memorable during a winter stay.,a,b,20,0.997774064540863,0.0007857146556489,0.0014401561347767,neutral,0.9977555871009828,0.00119750702288,0.0010468814289197,neutral,ref,0.0019832216785289,0.0024870375636964,1.9955296516418457,1.938345342874527,1.9002307738576616,0.0,0.0019832216785289,3.8299965826414755,3.8319798043200044
1,The hotel has conference rooms available to rent out for conferences and corporate events.,The room was okay but on the small side including the bathroom as well.,a,b,20,0.996372938156128,0.0015052652452141,0.002121788682416,neutral,0.9975589513778688,0.0013525892281904,0.0010884541552513,neutral,ref,0.0028578544734045,0.0032102428376673,1.9939318895339968,1.938345342874527,1.6691478408340896,0.0,0.0028578544734045,3.596388214238228,3.5992460687116328
2,The hotel has conference rooms available to rent out for conferences and corporate events.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.9929779171943665,0.004445943981409,0.0025760983116924,neutral,0.9966995120048524,0.002559007378295,0.0007414573337882,neutral,ref,0.007004951359704,0.0033175556454806,1.9896774291992188,1.938345342874527,1.7272151147148438,0.0,0.007004951359704,3.646248583334638,3.653253534694342
3,The hotel has conference rooms available to rent out for conferences and corporate events.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9946488738059998,0.0031767336186021,0.0021743499673902,neutral,0.997215986251831,0.0017178277485072,0.0010661261621862,neutral,ref,0.0048945613671093,0.0032404761295764,1.9918648600578308,1.938345342874527,1.9123440001692091,0.0,0.0048945613671093,3.8349930205187626,3.839887581885872
4,The hotel has conference rooms available to rent out for conferences and corporate events.,"But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.9860103130340576,0.0012610524427145,0.0127286734059453,neutral,0.9966476559638976,0.0026181286666542,0.0007341565215028,neutral,ref,0.0038791811093687,0.0134628299274481,1.9826579689979553,1.938345342874527,1.8189316562243871,0.0,0.0038791811093687,3.7240624698303852,3.727941650939754
5,The hotel has conference rooms available to rent out for conferences and corporate events.,Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.7755839824676514,0.0048116566613316,0.2196043878793716,neutral,0.9008262753486632,0.0845367684960365,0.014636892825365,neutral,ref,0.0893484251573681,0.2342412807047366,1.6764102578163147,1.938345342874527,1.599005550146103,0.0,0.0893484251573681,2.943775814424205,3.033124239581573
6,"The location of this hotel makes it easy to access restaurants, the river and shops.",The hotel is especially memorable during a winter stay.,a,b,20,0.9977935552597046,0.0009205100359395,0.0012859692797064,neutral,0.9977043271064758,0.0010707161854952,0.0012249702122062,neutral,ref,0.0019912262214347,0.0025109394919126003,1.9954978823661804,1.9020046989123027,1.9002307738576616,0.0,0.0019912262214347,3.7936764962270466,3.7956677224484814
7,"The location of this hotel makes it easy to access restaurants, the river and shops.",The room was okay but on the small side including the bathroom as well.,a,b,20,0.8094580173492432,0.187350258231163,0.0031916860025376,neutral,0.9974023103713988,0.0017925932770594,0.0008051138138398,neutral,ref,0.1891428515082224,0.0039967998163774,1.806860327720642,1.9020046989123027,1.6691478408340896,0.0,0.1891428515082224,3.20440486536985,3.3935477168780723
8,"The location of this hotel makes it easy to access restaurants, the river and shops.",After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.9977019429206848,0.0009598351316526,0.0013382614124566,neutral,0.9971073269844056,0.0021399981342256,0.0007527461275458,neutral,ref,0.0030998332658782,0.0020910075400024,1.9948092699050903,1.9020046989123027,1.7272151147148438,0.0,0.0030998332658782,3.6198526297094578,3.622952462975336
9,"The location of this hotel makes it easy to access restaurants, the river and shops.",Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9977476000785828,0.0011583102168515,0.0010940768988803,neutral,0.9967039227485656,0.0016664108261466,0.0016296396497637,neutral,ref,0.0028247210429981,0.002723716548644,1.9944515228271484,1.9020046989123027,1.9123440001692091,0.0,0.0028247210429981,3.803761390291272,3.80658611133427
10,"The location of this hotel makes it easy to access restaurants, the river and shops.","But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.8038729429244995,0.1708607226610183,0.0252663306891918,neutral,0.9921934604644777,0.0071231932379305,0.000683274352923,neutral,ref,0.1779839158989488,0.025949605042114802,1.796066403388977,1.9020046989123027,1.8189316562243871,0.0,0.1779839158989488,3.3337022091085178,3.5116861250074667
11,"The location of this hotel makes it easy to access restaurants, the river and shops.",Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.8745430111885071,0.0350069664418697,0.0904500558972358,neutral,0.9497997760772704,0.0465653203427791,0.0036349419970065,neutral,ref,0.0815722867846488,0.0940849978942423,1.8243427872657776,1.9020046989123027,1.599005550146103,0.0,0.0815722867846488,3.182120030156536,3.263692316941185
12,The rooms are a good size and well decorated.,The hotel is especially memorable during a winter stay.,a,b,20,0.997571051120758,0.0007211100310087,0.0017078639939427,neutral,0.9977813363075256,0.0010310877114534,0.0011876327916979,neutral,ref,0.0017521977424621,0.0028954967856406003,1.9953523874282837,1.7690525154272716,1.9002307738576616,0.0,0.0017521977424621,3.6607703781349854,3.6625225758774476
13,The rooms are a good size and well decorated.,The room was okay but on the small side including the bathroom as well.,a,b,20,0.2623007595539093,0.7350305914878845,0.0026686049532145,contradiction,0.9352121353149414,0.050782460719347,0.0140053844079375,neutral,ref,0.7858130522072315,0.016673989361152,1.1975128948688507,1.7690525154272716,1.6691478408340896,0.0,0.7858130522072315,2.0250311348701002,2.8108441870773317
14,The rooms are a good size and well decorated.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.4917658865451813,0.0014023383846506,0.5068317651748657,entailment,0.997729480266571,0.0007721344591118,0.0014983778819441,neutral,ref,0.0021744728437624,0.5083301430568098,1.4894953668117523,1.7690525154272716,1.7272151147148438,0.0,0.0021744728437624,2.593253117307082,2.5954275901508446
15,The rooms are a good size and well decorated.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9977935552597046,0.0008142389706335,0.0013921986101195,neutral,0.9963668584823608,0.002937285695225,0.0006958554731681,neutral,ref,0.0037515246658585,0.0020880540832875997,1.9941604137420654,1.7690525154272716,1.9123440001692091,0.0,0.0037515246658585,3.6705453825954866,3.674296907261345
16,The rooms are a good size and well decorated.,"But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.9872143268585204,0.0084082996472716,0.0043773562647402,neutral,0.9885718822479248,0.0106082651764154,0.0008198065333999,neutral,ref,0.019016564823687,0.0051971627981401,1.9757862091064453,1.7690525154272716,1.8189316562243871,0.0,0.019016564823687,3.5445786792689837,3.563595244092671
17,The rooms are a good size and well decorated.,Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.9748896956443788,0.0208139233291149,0.0042963880114257,neutral,0.987118124961853,0.0121273919939994,0.000754471111577,neutral,ref,0.0329413153231143,0.0050508591230027,1.9620078206062317,1.7690525154272716,1.599005550146103,0.0,0.0329413153231143,3.303038428807633,3.3359797441307473
18,The bathroom in the hotel was large and with a large bathtub.,The hotel is especially memorable during a winter stay.,a,b,20,0.997852087020874,0.0010149626759812,0.0011329757981002,neutral,0.9977414608001708,0.0009561632759869,0.0013023322680965,neutral,ref,0.0019711259519681,0.0024353080661966998,1.995593547821045,1.741590048186481,1.9002307738576616,0.0,0.0019711259519681,3.633788292483847,3.635759418435815
19,The bathroom in the hotel was large and with a large bathtub.,The room was okay but on the small side including the bathroom as well.,a,b,20,0.0194992143660783,0.9798178672790528,0.0006829042686149,contradiction,0.832632303237915,0.1303873807191848,0.0369802862405777,neutral,ref,1.1102052479982376,0.0376631905091926,0.8521315176039933,1.741590048186481,1.6691478408340896,0.0,1.1102052479982376,1.4237460488456977,2.5339512968439353
20,The bathroom in the hotel was large and with a large bathtub.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.9977339506149292,0.0012093294644728,0.0010566413402557,neutral,0.99780935049057,0.000828388845548,0.0013623218983411,neutral,ref,0.0020377183100208,0.0024189632385968,1.9955433011054993,1.741590048186481,1.7272151147148438,0.0,0.0020377183100208,3.461074910899856,3.463112629209877
21,The bathroom in the hotel was large and with a large bathtub.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9642705321311952,0.0300347376614809,0.0056947194971144,neutral,0.99744713306427,0.0017124218866229,0.0008405102998949,neutral,ref,0.0317471595481038,0.0065352297970093,1.961717665195465,1.741590048186481,1.9123440001692091,0.0,0.0317471595481038,3.586826002920607,3.618573162468711
22,The bathroom in the hotel was large and with a large bathtub.,"But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.8694304823875427,0.0973229631781578,0.0332465954124927,neutral,0.9902905821800232,0.0088301599025726,0.0008792413282208,neutral,ref,0.10615312308073041,0.0341258367407135,1.859721064567566,1.741590048186481,1.8189316562243871,0.0,0.10615312308073041,3.315462364504238,3.4216154875849685
23,The bathroom in the hotel was large and with a large bathtub.,Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.787480354309082,0.210313394665718,0.0022062202915549,neutral,0.9973528385162354,0.0018336445791646,0.0008135273819789,neutral,ref,0.2121470392448826,0.0030197476735338,1.7848331928253174,1.741590048186481,1.599005550146103,0.0,0.2121470392448826,2.9662406724484915,3.1783877116933743
24,Small touches like a chocolate on the pillow are also nice.,The hotel is especially memorable during a winter stay.,a,b,20,0.9976820945739746,0.0012537960428744,0.0010641078697517,neutral,0.997803032398224,0.000963095924817,0.0012338230153545,neutral,ref,0.0022168919676914,0.0022979308851062002,1.9954851269721985,1.9410126308600109,1.9002307738576616,0.0,0.0022168919676914,3.8325695755625553,3.8347864675302468
