,Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type,avg_cont,avg_ent,weight_1_2_neut,weight_2_1_neut,ent_final,cont_final,neut_final,total
0,The hotel has conference rooms available to rent out for conferences and corporate events.,The hotel is especially memorable during a winter stay.,a,b,20,0.997774064540863,0.0007857146556489,0.0014401561347767,neutral,0.9977555871009828,0.00119750702288,0.0010468814289197,neutral,ref,0.00099161083926445,0.0012435187818482,0.957228014866511,0.9835648706981114,-0.0012435187818482,0.00099161083926445,0.957228014866511,0.9569761069239272
1,The hotel has conference rooms available to rent out for conferences and corporate events.,The room was okay but on the small side including the bathroom as well.,a,b,20,0.996372938156128,0.0015052652452141,0.002121788682416,neutral,0.9975589513778688,0.0013525892281904,0.0010884541552513,neutral,ref,0.00142892723670225,0.00160512141883365,0.957228014866511,0.9625107986586434,-0.00160512141883365,0.00142892723670225,0.957228014866511,0.9570518206843796
2,The hotel has conference rooms available to rent out for conferences and corporate events.,After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.9929779171943665,0.004445943981409,0.0025760983116924,neutral,0.9966995120048524,0.002559007378295,0.0007414573337882,neutral,ref,0.003502475679852,0.0016587778227403,0.957228014866511,0.8572296236774751,-0.0016587778227403,0.003502475679852,0.957228014866511,0.9590717127236227
3,The hotel has conference rooms available to rent out for conferences and corporate events.,Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9946488738059998,0.0031767336186021,0.0021743499673902,neutral,0.997215986251831,0.0017178277485072,0.0010661261621862,neutral,ref,0.00244728068355465,0.0016202380647882,0.957228014866511,0.9947423934936523,-0.0016202380647882,0.00244728068355465,0.957228014866511,0.9580550574852774
4,The hotel has conference rooms available to rent out for conferences and corporate events.,"But a coffee maker and coffee was not free of charge, which is unusual.",a,b,20,0.9860103130340576,0.0012610524427145,0.0127286734059453,neutral,0.9966476559638976,0.0026181286666542,0.0007341565215028,neutral,ref,0.00193959055468435,0.00673141496372405,0.957228014866511,0.9669438345091683,-0.00673141496372405,0.00193959055468435,0.957228014866511,0.9524361904574713
5,The hotel has conference rooms available to rent out for conferences and corporate events.,Whilst the toiletries were really great there was an issue with the toilet.,a,b,20,0.7755839824676514,0.0048116566613316,0.2196043878793716,neutral,0.9008262753486632,0.0845367684960365,0.014636892825365,neutral,ref,0.04467421257868405,0.1171206403523683,0.957228014866511,0.8830687148230416,-0.1171206403523683,0.04467421257868405,0.957228014866511,0.8847815870928267
6,"The location of this hotel makes it easy to access restaurants, the river and shops.",The hotel is especially memorable during a winter stay.,a,b,20,0.9977935552597046,0.0009205100359395,0.0012859692797064,neutral,0.9977043271064758,0.0010707161854952,0.0012249702122062,neutral,ref,0.00099561311071735,0.0012554697459563001,0.9135195116202036,0.9835648706981114,-0.0012554697459563001,0.00099561311071735,0.9135195116202036,0.9132596549849646
7,"The location of this hotel makes it easy to access restaurants, the river and shops.",The room was okay but on the small side including the bathroom as well.,a,b,20,0.8094580173492432,0.187350258231163,0.0031916860025376,neutral,0.9974023103713988,0.0017925932770594,0.0008051138138398,neutral,ref,0.0945714257541112,0.0019983999081887,0.9135195116202036,0.9625107986586434,-0.0019983999081887,0.0945714257541112,0.9135195116202036,1.006092537466126
8,"The location of this hotel makes it easy to access restaurants, the river and shops.",After upgrading rooms to a suite this was absolutely fine and had a great view with modern decor.,a,b,20,0.9977019429206848,0.0009598351316526,0.0013382614124566,neutral,0.9971073269844056,0.0021399981342256,0.0007527461275458,neutral,ref,0.0015499166329391,0.0010455037700012,0.9135195116202036,0.8572296236774751,-0.0010455037700012,0.0015499166329391,0.9135195116202036,0.9140239244831415
9,"The location of this hotel makes it easy to access restaurants, the river and shops.",Whilst the breakfast and dinners are both quite expensive they're really great and tasty.,a,b,20,0.9977476000785828,0.0011583102168515,0.0010940768988803,neutral,0.9967039227485656,0.0016664108261466,0.0016296396497637,neutral,ref,0.00141236052149905,0.001361858274322,0.9135195116202036,0.9947423934936523,-0.001361858274322,0.00141236052149905,0.9135195116202036,0.9135700138673807
